Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
Airport West,3,t,Nelson,03-09-2016,13.5,3042,3,2,1,303,225,2016,Western Metropolitan,3464,840000
Albert Park,2,h,hockingstuart,03-09-2016,3.3,3206,2,1,0,120,82,1900,Southern Metropolitan,3280,1275000
Albert Park,2,h,Thomson,03-09-2016,3.3,3206,2,1,0,159,inf,,Southern Metropolitan,3280,1455000
Alphington,4,h,Brace,03-09-2016,6.4,3078,3,2,4,853,263,1930,Northern Metropolitan,2211,2000000
Alphington,3,h,Jellis,03-09-2016,6.4,3078,3,2,2,208,inf,2013,Northern Metropolitan,2211,1110000
Altona,3,h,Greg,03-09-2016,13.8,3018,3,2,1,352,242,2015,Western Metropolitan,5301,520000
Altona North,5,h,FN,03-09-2016,11.1,3025,5,3,6,592,251,1965,Western Metropolitan,5132,1085000
Altona North,3,h,Jas,03-09-2016,11.1,3025,3,1,2,533,117,1970,Western Metropolitan,5132,781000
Altona North,4,h,hockingstuart,03-09-2016,11.1,3025,,,,,missing,,Western Metropolitan,5132,857500
Armadale,2,u,Jellis,03-09-2016,6.3,3143,2,1,1,50,76,1964,Southern Metropolitan,4836,599000
Ascot Vale,2,u,Nelson,03-09-2016,5.9,3032,3,1,2,50,missing,,Western Metropolitan,6567,455000
Ashburton,4,h,Marshall,03-09-2016,11,3147,4,3,2,753,399,2015,Southern Metropolitan,3052,2650000
Ashburton,2,h,Marshall,03-09-2016,11,3147,,,,,inf,,Southern Metropolitan,3052,1820000
Ashwood,2,h,Tim,03-09-2016,12.2,3147,2,1,1,583,inf,1950,Southern Metropolitan,2894,995000
Avondale Heights,4,h,Jellis,03-09-2016,10.5,3034,,,,,missing,,Western Metropolitan,4502,1310000
Avondale Heights,3,h,Moonee,03-09-2016,10.5,3034,3,1,1,593,118,1970,Western Metropolitan,4502,850000
Avondale Heights,3,h,Moonee,03-09-2016,10.5,3034,3,1,1,50,103,1980,Western Metropolitan,4502,750000
Balaclava,4,h,Gary,03-09-2016,6.6,3183,3,2,1,244,180,1900,Southern Metropolitan,2952,1819000
Balwyn,2,h,Marshall,03-09-2016,9.7,3103,2,1,1,659,123,1920,Southern Metropolitan,5682,2100000
Balwyn,4,h,Marshall,03-09-2016,9.7,3103,4,2,2,715,218,1985,Southern Metropolitan,5682,1800000
Balwyn,2,t,Noel,03-09-2016,9.7,3103,2,1,1,208,129,2000,Southern Metropolitan,5682,1255000
Balwyn North,3,t,hockingstuart,03-09-2016,9.2,3104,3,2,2,260,167,2000,Southern Metropolitan,7809,1315000
Balwyn North,3,h,Jellis,03-09-2016,9.2,3104,3,2,1,778,154,1950,Southern Metropolitan,7809,1500000
Balwyn North,4,h,Jellis,03-09-2016,9.2,3104,4,4,3,1135,275,1960,Southern Metropolitan,7809,3230000
Balwyn North,2,h,Jellis,03-09-2016,9.2,3104,2,1,1,253,missing,,Southern Metropolitan,7809,1080000
Balwyn North,4,u,hockingstuart,03-09-2016,9.2,3104,,,,,missing,,Southern Metropolitan,7809,1450000
Balwyn North,2,h,Fletchers,03-09-2016,9.2,3104,,,,,missing,,Southern Metropolitan,7809,1305000
Bentleigh,2,u,hockingstuart,03-09-2016,13,3204,2,1,2,202,missing,1974,Southern Metropolitan,6795,636000
Bentleigh,2,h,Woodards,03-09-2016,13,3204,2,1,2,599,missing,,Southern Metropolitan,6795,1275000
Bentleigh,3,u,hockingstuart,03-09-2016,13,3204,3,1,2,348,121,1950,Southern Metropolitan,6795,875000
Bentleigh,4,t,hockingstuart,03-09-2016,13,3204,,,,,,,Southern Metropolitan,6795,1230000
Bentleigh,3,t,Ray,03-09-2016,13,3204,3,2,2,362,,1997,Southern Metropolitan,6795,895000
Bentleigh,3,t,C21,03-09-2016,13,3204,,,,,,,Southern Metropolitan,6795,1020000
Bentleigh East,2,h,hockingstuart,03-09-2016,13.9,3165,2,1,2,768,,,Southern Metropolitan,10969,1410000
Bentleigh East,3,t,Buxton,03-09-2016,13.9,3165,,,,,,,Southern Metropolitan,10969,990000
Bentleigh East,3,h,Buxton,03-09-2016,13.9,3165,,,,,,,Southern Metropolitan,10969,1057000
Bentleigh East,3,t,hockingstuart,03-09-2016,13.9,3165,3,1,2,287,,,Southern Metropolitan,10969,760000
Bentleigh East,2,h,Buxton,03-09-2016,13.9,3165,2,2,1,176,125,2008,Southern Metropolitan,10969,825000
Box Hill,4,h,hockingstuart,03-09-2016,13.1,3128,4,2,2,697,255,1940,Eastern Metropolitan,4605,1620000
Braybrook,3,h,Barry,03-09-2016,10.8,3019,3,2,4,700,,,Western Metropolitan,3589,870000
Braybrook,2,h,Barry,03-09-2016,10.8,3019,2,1,1,566,75,1950,Western Metropolitan,3589,645000
Brighton,3,h,Buxton,03-09-2016,11.2,3186,3,2,2,663,,1940,Southern Metropolitan,10579,1550000
Brighton,3,h,Buxton,03-09-2016,11.2,3186,3,1,2,366,156,1920,Southern Metropolitan,10579,1635000
Brighton East,4,h,hockingstuart,03-09-2016,10.7,3187,4,2,2,682,240,1960,Southern Metropolitan,6938,1940000
Brighton East,4,h,Nick,03-09-2016,10.7,3187,4,2,2,617,268,1940,Southern Metropolitan,6938,1850000
Brighton East,2,h,Nick,03-09-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1060000
Brighton East,3,h,Marshall,03-09-2016,10.7,3187,3,1,1,329,117,1930,Southern Metropolitan,6938,930000
Brighton East,5,h,Gary,03-09-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1952000
Brunswick,2,u,Brad,03-09-2016,5.2,3056,2,1,2,50,,1970,Northern Metropolitan,11918,428000
Brunswick,2,h,Nelson,03-09-2016,5.2,3056,2,1,0,225,108,1905,Northern Metropolitan,11918,1026000
Brunswick West,2,u,Peter,03-09-2016,5.9,3055,2,1,1,50,69,1960,Northern Metropolitan,7082,521500
Bulleen,3,u,Jellis,03-09-2016,11.8,3105,3,1,2,385,140,2000,Eastern Metropolitan,4480,851000
Bulleen,4,h,Jellis,03-09-2016,11.8,3105,4,1,2,717,180,1960,Eastern Metropolitan,4480,1300000
Bulleen,4,h,Barry,03-09-2016,11.8,3105,3,2,2,562,,,Eastern Metropolitan,4480,1110000
Bulleen,4,h,Jellis,03-09-2016,11.8,3105,4,2,2,556,214,1957,Eastern Metropolitan,4480,1235000
Burwood,5,h,Jellis,03-09-2016,11.7,3125,4,3,2,661,253,1940,Southern Metropolitan,5678,1590000
Camberwell,4,h,Jellis,03-09-2016,7.8,3124,4,2,1,652,189,1890,Southern Metropolitan,8920,2650000
Camberwell,3,t,Marshall,03-09-2016,7.8,3124,3,1,2,389,,,Southern Metropolitan,8920,1615000
Camberwell,4,h,RT,03-09-2016,7.8,3124,4,3,2,934,,,Southern Metropolitan,8920,3225000
Canterbury,4,h,Marshall,03-09-2016,9,3126,4,2,2,687,215,1935,Southern Metropolitan,3265,2950000
Carlton North,3,h,Nelson,03-09-2016,3.2,3054,3,1,1,314,,1900,Northern Metropolitan,3106,1330000
