stock,date,price
AAPL,08-02-2013,67.8542
AAPL,11-02-2013,68.5614
AAPL,12-02-2013,66.8428
AAPL,13-02-2013,66.7156
AAPL,14-02-2013,66.6556
AAPL,15-02-2013,65.7371
AAPL,19-02-2013,65.7128
AAPL,20-02-2013,64.1214
AAPL,21-02-2013,63.7228
AAPL,22-02-2013,64.4014
AAPL,25-02-2013,63.2571
AAPL,26-02-2013,64.1385
AAPL,27-02-2013,63.5099
AAPL,28-02-2013,63.0571
AAPL,01-03-2013,61.4957
AAPL,04-03-2013,60.0071
AAPL,05-03-2013,61.5919
AAPL,06-03-2013,60.8088
AAPL,07-03-2013,61.5117
AAPL,08-03-2013,61.6742
AAPL,11-03-2013,62.5528
AAPL,12-03-2013,61.2042
AAPL,13-03-2013,61.1928
AAPL,14-03-2013,61.7857
AAPL,15-03-2013,63.3799
AAPL,18-03-2013,65.1028
AAPL,19-03-2013,64.9271
AAPL,20-03-2013,64.5828
AAPL,21-03-2013,64.6756
AAPL,22-03-2013,65.9871
AAPL,25-03-2013,66.2256
AAPL,26-03-2013,65.8765
AAPL,27-03-2013,64.5828
AAPL,28-03-2013,63.2371
AAPL,01-04-2013,61.2728
AAPL,02-04-2013,61.3988
AAPL,03-04-2013,61.7128
AAPL,04-04-2013,61.1028
AAPL,05-04-2013,60.4571
AAPL,08-04-2013,60.8871
AAPL,09-04-2013,60.9971
AAPL,10-04-2013,62.2414
AAPL,11-04-2013,62.0471
AAPL,12-04-2013,61.3999
AAPL,15-04-2013,59.9785
AAPL,16-04-2013,60.8914
AAPL,17-04-2013,57.5428
AAPL,18-04-2013,56.0071
AAPL,19-04-2013,55.7899
AAPL,22-04-2013,56.9528
AAPL,23-04-2013,58.0185
AAPL,24-04-2013,57.9231
AAPL,25-04-2013,58.3399
AAPL,26-04-2013,59.6007
AAPL,29-04-2013,61.4457
AAPL,30-04-2013,63.2542
AAPL,01-05-2013,62.7557
AAPL,02-05-2013,63.6457
AAPL,03-05-2013,64.2828
AAPL,06-05-2013,65.8156
AAPL,07-05-2013,65.5225
AAPL,08-05-2013,66.2628
AAPL,09-05-2013,65.2528
AAPL,10-05-2013,64.7099
AAPL,13-05-2013,64.9628
AAPL,14-05-2013,63.4085
AAPL,15-05-2013,61.2642
AAPL,16-05-2013,62.0825
AAPL,17-05-2013,61.8942
AAPL,20-05-2013,63.2757
AAPL,21-05-2013,62.8085
AAPL,22-05-2013,63.0505
AAPL,23-05-2013,63.1628
AAPL,24-05-2013,63.5928
AAPL,28-05-2013,63.0627
AAPL,29-05-2013,63.5642
AAPL,30-05-2013,64.5114
AAPL,31-05-2013,64.2478
AAPL,03-06-2013,64.3885
AAPL,04-06-2013,64.1871
AAPL,05-06-2013,63.5871
AAPL,06-06-2013,62.6371
AAPL,07-06-2013,63.1158
AAPL,10-06-2013,62.6985
AAPL,11-06-2013,62.5142
AAPL,12-06-2013,61.7414
AAPL,13-06-2013,62.2807
AAPL,14-06-2013,61.4357
AAPL,17-06-2013,61.7142
AAPL,18-06-2013,61.6814
AAPL,19-06-2013,60.4285
AAPL,20-06-2013,59.5482
AAPL,21-06-2013,59.0714
AAPL,24-06-2013,57.5057
AAPL,25-06-2013,57.5185
AAPL,26-06-2013,56.8671
AAPL,27-06-2013,56.2542
AAPL,28-06-2013,56.6471
AAPL,01-07-2013,58.4599
AAPL,02-07-2013,59.7842
AAPL,03-07-2013,60.1142
AAPL,05-07-2013,59.6314
AAPL,08-07-2013,59.2928
AAPL,09-07-2013,60.3357
AAPL,10-07-2013,60.1042
AAPL,11-07-2013,61.0411
AAPL,12-07-2013,60.9299
AAPL,15-07-2013,61.0628
AAPL,16-07-2013,61.4564
AAPL,17-07-2013,61.4728
AAPL,18-07-2013,61.6797
AAPL,19-07-2013,60.7071
AAPL,22-07-2013,60.9014
AAPL,23-07-2013,59.8557
AAPL,24-07-2013,62.9299
AAPL,25-07-2013,62.6428
AAPL,26-07-2013,62.9985
AAPL,29-07-2013,63.9699
AAPL,30-07-2013,64.7599
AAPL,31-07-2013,64.6471
AAPL,01-08-2013,65.2394
AAPL,02-08-2013,66.0771
AAPL,05-08-2013,67.0642
AAPL,06-08-2013,66.4642
AAPL,07-08-2013,66.4256
AAPL,08-08-2013,65.8585
AAPL,09-08-2013,64.9214
AAPL,12-08-2013,66.7656
AAPL,13-08-2013,69.9385
AAPL,14-08-2013,71.2142
AAPL,15-08-2013,71.1299
AAPL,16-08-2013,71.7614
AAPL,19-08-2013,72.5342
AAPL,20-08-2013,71.5814
AAPL,21-08-2013,71.7656
AAPL,22-08-2013,71.8514
AAPL,23-08-2013,71.5742
AAPL,26-08-2013,71.8528
AAPL,27-08-2013,69.7985
AAPL,28-08-2013,70.1279
AAPL,29-08-2013,70.2428
AAPL,30-08-2013,69.6022
AAPL,03-09-2013,69.7971
AAPL,04-09-2013,71.2415
AAPL,05-09-2013,70.7528
AAPL,06-09-2013,71.1742
AAPL,09-09-2013,72.3099
AAPL,10-09-2013,70.6628
AAPL,11-09-2013,66.8156
AAPL,12-09-2013,67.5271
AAPL,13-09-2013,66.4142
AAPL,16-09-2013,64.3028
AAPL,17-09-2013,65.0456
AAPL,18-09-2013,66.3828
AAPL,19-09-2013,67.4714
AAPL,20-09-2013,66.7728
AAPL,23-09-2013,70.0914
AAPL,24-09-2013,69.8714
AAPL,25-09-2013,68.7899
AAPL,26-09-2013,69.4599
AAPL,27-09-2013,68.9642
AAPL,30-09-2013,68.1071
AAPL,01-10-2013,69.7085
AAPL,02-10-2013,69.9371
AAPL,03-10-2013,69.0585
AAPL,04-10-2013,69.0042
AAPL,07-10-2013,69.6785
AAPL,08-10-2013,68.7056
AAPL,09-10-2013,69.5125
AAPL,10-10-2013,69.9482
AAPL,11-10-2013,70.4016
AAPL,14-10-2013,70.8628
AAPL,15-10-2013,71.2399
AAPL,16-10-2013,71.5876
AAPL,17-10-2013,72.0714
AAPL,18-10-2013,72.6985
AAPL,21-10-2013,74.4802
AAPL,22-10-2013,74.2667
AAPL,23-10-2013,74.9942
AAPL,24-10-2013,75.9871
AAPL,25-10-2013,75.1368
AAPL,28-10-2013,75.6965
AAPL,29-10-2013,73.8111
AAPL,30-10-2013,74.9851
AAPL,31-10-2013,74.6716
AAPL,01-11-2013,74.2899
AAPL,04-11-2013,75.2499
AAPL,05-11-2013,75.0641
AAPL,06-11-2013,74.4171
AAPL,07-11-2013,73.2131
AAPL,08-11-2013,74.3656
AAPL,11-11-2013,74.1496
AAPL,12-11-2013,74.2871
AAPL,13-11-2013,74.3762
AAPL,14-11-2013,75.4514
AAPL,15-11-2013,74.9986
AAPL,18-11-2013,74.0898
AAPL,19-11-2013,74.2214
AAPL,20-11-2013,73.5714
AAPL,21-11-2013,74.4479
AAPL,22-11-2013,74.2571
AAPL,25-11-2013,74.8199
AAPL,26-11-2013,76.1999
AAPL,27-11-2013,77.9942
AAPL,29-11-2013,79.4385
AAPL,02-12-2013,78.7471
AAPL,03-12-2013,80.9031
AAPL,04-12-2013,80.7142
AAPL,05-12-2013,81.1286
AAPL,06-12-2013,80.0028
